date,occupancy_avg,occupancy_p25,occupancy_p50,occupancy_p75,occupancy_p90,average_daily_rate_avg,average_daily_rate_p25,average_daily_rate_p50,average_daily_rate_p75,average_daily_rate_p90,revpar_avg,revpar_p25,revpar_p50,revpar_p75,revpar_p90,revenue_avg,revenue_p25,revenue_p50,revenue_p75,revenue_p90,booking_lead_time_avg,booking_lead_time_p25,booking_lead_time_p50,booking_lead_time_p75,booking_lead_time_p90,length_of_stay_avg,length_of_stay_p25,length_of_stay_p50,length_of_stay_p75,length_of_stay_p90,active_listings_count,country,region,locality
2022-08-01,0.63,0.4,0.71,0.88,0.94,160.6,85.7,129.3,187.9,288.8,125.0,56.7,96.0,151.2,246.7,3874.3,1753.3,2974.9,4685.5,7647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1579,New Zealand,Canterbury,Christchurch
2022-09-01,0.64,0.41,0.75,0.87,0.93,162.0,88.4,131.4,188.6,292.7,128.8,60.6,99.3,157.2,259.2,3864.4,1817.9,2975.9,4720.3,7779.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1573,New Zealand,Canterbury,Christchurch
2022-10-01,0.69,0.49,0.82,0.92,0.97,185.3,97.0,149.5,215.7,328.6,150.3,74.8,119.7,182.8,290.7,4658.2,2311.5,3712.3,5666.9,9009.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1588,New Zealand,Canterbury,Christchurch
2022-11-01,0.72,0.54,0.85,0.93,0.97,191.3,100.2,150.6,224.5,335.7,160.1,76.9,127.8,198.7,294.3,4802.7,2307.8,3834.6,5961.1,8827.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1606,New Zealand,Canterbury,Christchurch
2022-12-01,0.73,0.61,0.85,0.94,0.97,181.5,93.0,144.0,216.1,326.9,155.3,71.5,122.0,193.2,287.2,4815.9,2216.0,3781.9,5987.7,8905.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1615,New Zealand,Canterbury,Christchurch
2023-01-01,0.75,0.64,0.87,0.94,0.97,192.7,101.4,155.6,229.5,343.0,162.6,79.2,133.9,198.9,294.8,5041.2,2453.1,4152.1,6166.9,9139.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1601,New Zealand,Canterbury,Christchurch
2023-02-01,0.74,0.57,0.88,0.95,0.96,170.4,92.3,137.3,202.3,304.2,141.7,71.9,119.0,176.4,261.3,3966.5,2013.5,3331.9,4939.0,7317.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600,New Zealand,Canterbury,Christchurch
2023-03-01,0.78,0.71,0.88,0.94,0.97,180.5,96.4,145.7,214.1,316.6,153.6,80.7,127.2,188.8,277.8,4760.3,2499.4,3941.7,5851.3,8617.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583,New Zealand,Canterbury,Christchurch
2023-04-01,0.7,0.56,0.81,0.93,0.97,170.1,94.7,141.8,201.9,300.9,131.1,67.2,113.2,164.9,243.9,3932.7,2015.1,3394.6,4947.8,7318.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1580,New Zealand,Canterbury,Christchurch
2023-05-01,0.59,0.35,0.66,0.83,0.93,156.2,92.3,132.2,187.3,273.3,99.6,49.9,86.4,127.0,184.4,3087.3,1550.8,2676.2,3936.2,5712.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1570,New Zealand,Canterbury,Christchurch
2023-06-01,0.6,0.36,0.67,0.86,0.93,153.8,91.4,128.7,182.9,276.7,100.3,50.4,86.0,129.5,188.1,3008.4,1509.3,2580.5,3886.1,5643.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1574,New Zealand,Canterbury,Christchurch
2023-07-01,0.66,0.46,0.73,0.91,0.97,164.3,91.7,134.7,196.7,296.8,117.2,59.8,99.8,146.3,216.5,3633.2,1855.0,3093.0,4537.2,6711.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1632,New Zealand,Canterbury,Christchurch
2023-08-01,0.61,0.38,0.67,0.85,0.93,153.3,87.2,125.7,181.9,272.5,106.8,54.3,88.8,131.2,194.9,3311.3,1682.9,2752.2,4068.0,6041.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1641,New Zealand,Canterbury,Christchurch
2023-09-01,0.59,0.34,0.66,0.85,0.93,162.5,91.7,134.1,193.7,297.0,108.2,51.1,93.0,137.0,196.6,3246.2,1532.5,2788.0,4110.5,5899.5,0.0,0.0,0.0,0.0,0.0,10.0,1.0,6.0,14.0,26.0,1655,New Zealand,Canterbury,Christchurch
2023-10-01,0.61,0.42,0.69,0.84,0.93,170.6,98.2,139.9,203.1,302.1,106.2,48.6,91.6,132.7,196.8,3290.9,1507.3,2840.4,4112.9,6101.3,8.2,3.0,7.0,13.0,16.0,6.7,2.0,3.0,7.0,14.0,1467,New Zealand,Canterbury,Christchurch
2023-11-01,0.63,0.4,0.72,0.87,0.93,195.0,100.1,154.1,230.3,341.8,118.7,54.1,97.9,149.8,224.3,3560.4,1624.6,2938.5,4494.0,6724.5,25.5,19.0,26.0,33.0,37.0,3.7,1.0,2.0,3.0,7.0,1470,New Zealand,Canterbury,Christchurch
2023-12-01,0.62,0.4,0.71,0.85,0.94,194.8,99.1,153.6,229.5,356.6,122.0,50.9,94.6,146.4,245.9,3781.9,1579.0,2934.0,4540.2,7615.5,45.9,34.0,51.0,60.0,66.0,2.9,1.0,1.0,3.0,6.0,1440,New Zealand,Canterbury,Christchurch
2024-01-01,0.6,0.36,0.69,0.85,0.93,194.5,97.2,150.7,229.6,356.8,117.7,45.8,92.6,143.7,237.8,3648.5,1418.1,2872.2,4452.6,7373.4,54.1,29.0,60.0,80.0,90.0,3.4,1.0,2.0,3.0,6.0,1415,New Zealand,Canterbury,Christchurch
2024-02-01,0.68,0.51,0.78,0.9,0.97,197.2,104.8,158.2,227.3,347.0,131.4,65.8,114.1,163.9,240.1,3811.5,1908.4,3309.3,4753.3,6968.2,61.2,32.0,59.0,91.0,110.0,3.1,1.0,2.0,3.0,6.0,1362,New Zealand,Canterbury,Christchurch
2024-03-01,0.64,0.43,0.73,0.88,0.94,191.7,104.5,154.9,225.9,334.3,120.8,56.6,106.0,152.6,224.5,3744.1,1754.0,3285.3,4732.9,6959.3,61.4,26.0,51.0,95.0,127.0,3.7,1.0,2.0,3.0,7.0,1326,New Zealand,Canterbury,Christchurch
2024-04-01,0.53,0.3,0.57,0.77,0.9,191.0,108.2,156.0,224.6,324.9,100.5,42.5,82.9,130.8,192.8,3015.2,1277.2,2529.8,3916.5,5780.4,52.3,21.0,43.0,73.0,109.0,4.0,1.0,2.0,4.0,8.0,1280,New Zealand,Canterbury,Christchurch
2024-05-01,0.45,0.19,0.43,0.68,0.84,181.3,111.0,154.3,212.0,300.7,78.8,28.5,64.5,110.6,152.6,2441.7,869.3,1983.2,3419.9,4731.9,49.5,14.0,35.0,63.0,112.0,4.2,1.0,2.0,4.0,10.0,1258,New Zealand,Canterbury,Christchurch
2024-06-01,0.41,0.16,0.35,0.64,0.84,178.6,105.4,146.8,201.7,302.5,71.3,24.3,52.8,95.8,146.3,2137.6,734.0,1585.2,2870.5,4393.4,43.5,10.0,28.0,62.0,99.0,4.6,1.0,2.0,4.0,10.0,1255,New Zealand,Canterbury,Christchurch
2024-07-01,0.48,0.3,0.5,0.66,0.79,185.6,115.5,165.8,224.9,297.3,88.4,38.2,77.1,118.8,167.2,2739.1,1185.2,2391.9,3681.6,5181.2,21.4,3.0,7.0,24.0,63.0,5.4,2.0,3.0,5.0,12.0,2039,New Zealand,Canterbury,Christchurch
2024-08-01,0.47,0.24,0.47,0.7,0.82,183.0,113.9,161.2,221.4,296.5,87.3,32.3,72.8,120.5,172.1,2705.0,998.0,2257.9,3734.0,5337.5,28.8,11.0,22.0,33.0,55.0,3.7,1.0,2.0,3.0,8.0,2056,New Zealand,Canterbury,Christchurch
2024-09-01,0.5,0.25,0.52,0.72,0.86,175.5,106.9,152.4,215.6,286.0,86.2,34.2,75.9,118.2,162.9,2584.8,1024.6,2276.4,3544.5,4886.0,40.6,16.0,32.0,53.0,79.0,4.1,1.0,2.0,4.0,8.0,2061,New Zealand,Canterbury,Christchurch
2024-10-01,0.55,0.35,0.6,0.77,0.87,177.5,108.8,153.8,215.6,292.7,98.5,43.0,87.7,129.3,179.4,3052.2,1332.4,2718.0,4007.8,5563.1,47.8,19.0,40.0,65.0,93.0,4.2,1.0,2.0,4.0,8.0,2060,New Zealand,Canterbury,Christchurch
2024-11-01,0.54,0.21,0.61,0.81,0.91,208.5,122.8,184.6,258.6,350.2,113.7,41.3,97.3,160.2,222.1,3410.5,1237.8,2919.4,4805.2,6662.8,53.1,15.0,45.0,80.0,115.0,4.7,1.0,2.0,5.0,10.0,2276,New Zealand,Canterbury,Christchurch
2024-12-01,0.61,0.42,0.66,0.82,0.91,219.2,125.0,191.4,270.5,380.1,137.0,60.1,118.0,179.1,255.2,4248.2,1865.9,3659.1,5553.8,7912.8,63.1,20.0,50.0,91.0,133.0,4.4,2.0,2.0,4.0,8.0,2323,New Zealand,Canterbury,Christchurch
2025-01-01,0.6,0.42,0.64,0.81,0.9,222.9,129.8,196.5,277.7,375.2,133.2,60.3,119.7,176.2,249.0,4129.2,1870.1,3708.7,5466.4,7718.8,51.6,14.0,37.0,75.0,122.0,4.6,2.0,3.0,4.0,10.0,2466,New Zealand,Canterbury,Christchurch
2025-02-01,0.67,0.52,0.75,0.88,0.93,212.3,124.7,188.1,262.4,358.9,143.0,69.4,130.1,191.0,259.3,4002.7,1941.4,3642.5,5347.5,7260.6,56.3,20.0,40.0,78.0,126.0,3.7,2.0,2.0,4.0,6.0,2463,New Zealand,Canterbury,Christchurch
2025-03-01,0.6,0.42,0.64,0.82,0.91,206.9,127.0,179.5,252.0,337.3,122.7,60.8,113.8,162.9,222.2,3805.0,1885.4,3530.8,5050.0,6886.3,42.2,16.0,30.0,53.0,94.0,3.7,2.0,2.0,4.0,7.0,2095,New Zealand,Canterbury,Christchurch
2025-04-01,0.57,0.39,0.62,0.77,0.88,201.5,125.8,174.8,242.1,333.2,114.9,56.9,102.9,151.8,208.9,3446.9,1707.2,3085.3,4552.9,6269.6,46.3,21.0,39.0,60.0,92.0,3.7,2.0,2.0,4.0,6.0,2117,New Zealand,Canterbury,Christchurch
2025-05-01,0.44,0.21,0.43,0.64,0.79,191.3,123.5,166.8,225.3,311.5,81.4,33.3,71.1,111.4,158.4,2524.6,1030.9,2202.2,3454.5,4908.9,33.3,10.0,27.0,48.0,73.0,3.7,2.0,2.0,4.0,7.0,2125,New Zealand,Canterbury,Christchurch
2025-06-01,0.39,0.16,0.34,0.59,0.78,204.4,133.2,181.9,242.0,329.7,79.0,26.7,62.9,112.8,164.4,2371.7,804.2,1885.4,3385.4,4933.3,34.2,9.0,23.0,46.0,76.0,3.8,2.0,2.0,4.0,7.0,2158,New Zealand,Canterbury,Christchurch
2025-07-01,0.43,0.2,0.41,0.65,0.81,207.7,132.3,185.8,247.7,334.7,89.5,32.6,73.3,128.2,184.5,2775.8,1011.6,2274.1,3975.6,5723.8,40.5,14.0,30.0,54.0,90.0,5.5,2.0,3.0,4.0,9.0,2159,New Zealand,Canterbury,Christchurch
